varied_parameter,varied_value,method,scenario,size,success_rate,avg_return,avg_steps_on_success,prep_time_sec,eval_time_sec,total_time_sec,ql_episodes,ql_alpha,ql_gamma,ql_epsilon_start,ql_epsilon_min,ql_epsilon_decay,vi_gamma,vi_theta,csp_fallback
csp_fallback,False,CSPReplanning,easy,10,1.0,6.625,19.108333333333334,1.45800004247576e-06,0.1765039159945445,0.176505373994587,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,False
csp_fallback,True,CSPReplanning,easy,10,1.0,6.633333333333334,19.1,8.300412446260452e-08,0.1755294999893522,0.17552958299347665,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
csp_fallback,False,CSPReplanning,hard,14,0.0,0.0,,2.9199873097240925e-07,0.01934449998952914,0.019344791988260113,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,False
csp_fallback,True,CSPReplanning,hard,14,0.975,-30.158333333333335,36.82905982905983,3.7500285543501377e-07,1.126994417005335,1.1269947920081904,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
csp_fallback,False,CSPReplanning,medium,12,1.0,-1.1583333333333334,26.925,5.830079317092896e-07,0.3344645000033779,0.3344650830113096,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,False
csp_fallback,True,CSPReplanning,medium,12,1.0,-1.1583333333333334,26.925,3.3300602808594704e-07,0.33678658299322706,0.33678691599925514,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_alpha,0.05,QLearning,easy,10,1.0,6.533333333333333,19.166666666666668,0.1035195830045268,0.004652792005799711,0.1081723750103265,1500,0.05,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_alpha,0.1,QLearning,easy,10,1.0,6.6,19.066666666666666,0.08692920800240245,0.004647041001589969,0.09157624900399242,1500,0.1,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_alpha,0.2,QLearning,easy,10,1.0,6.708333333333333,19.058333333333334,0.07857208300265484,0.0046106670051813126,0.08318275000783615,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_alpha,0.3,QLearning,easy,10,1.0,6.433333333333334,19.3,0.07820704100595322,0.004580041000735946,0.08278708200668916,1500,0.3,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_alpha,0.5,QLearning,easy,10,1.0,6.7,19.033333333333335,0.07891495799412951,0.004517249995842576,0.08343220798997208,1500,0.5,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_alpha,0.05,QLearning,hard,14,0.0,-69.56666666666666,,0.17764695799269248,0.01260645900038071,0.1902534169930732,1500,0.05,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_alpha,0.1,QLearning,hard,14,0.0,-60.13333333333333,,0.17608133298926987,0.011837999991257675,0.18791933298052754,1500,0.1,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_alpha,0.2,QLearning,hard,14,0.0,-56.8,,0.17574054200667888,0.012029917008476332,0.1877704590151552,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_alpha,0.3,QLearning,hard,14,0.0,-56.0,,0.18912387499585748,0.011925875005545095,0.20104975000140257,1500,0.3,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_alpha,0.5,QLearning,hard,14,0.0,-56.0,,0.17604983299679589,0.011646957995253615,0.1876967909920495,1500,0.5,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_alpha,0.05,QLearning,medium,12,0.19166666666666668,-41.958333333333336,26.82608695652174,0.1507781249965774,0.009454083003220148,0.16023220799979754,1500,0.05,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_alpha,0.1,QLearning,medium,12,1.0,-0.925,26.491666666666667,0.12189004100218881,0.006030083997757174,0.12792012499994598,1500,0.1,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_alpha,0.2,QLearning,medium,12,1.0,-1.925,27.658333333333335,0.11275645799469203,0.00622125000518281,0.11897770799987484,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_alpha,0.3,QLearning,medium,12,1.0,-1.4083333333333334,27.041666666666668,0.10800537500472274,0.006133083006716333,0.11413845801143907,1500,0.3,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_alpha,0.5,QLearning,medium,12,1.0,-1.2416666666666667,26.875,0.10938891700061504,0.0061013749946141616,0.1154902919952292,1500,0.5,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_episodes,500,QLearning,easy,10,1.0,6.725,18.975,0.03297979100898374,0.004490999999688938,0.03747079100867268,500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_episodes,1000,QLearning,easy,10,1.0,6.508333333333334,19.191666666666666,0.057040500003495254,0.004403290993650444,0.0614437909971457,1000,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_episodes,1500,QLearning,easy,10,1.0,6.708333333333333,19.058333333333334,0.08190454199211672,0.0050458749901736155,0.08695041698229033,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_episodes,2500,QLearning,easy,10,1.0,6.675,19.091666666666665,0.12687329199980013,0.0047682910080766305,0.13164158300787676,2500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_episodes,4000,QLearning,easy,10,1.0,6.591666666666667,19.141666666666666,0.1941953750065295,0.004540333000477403,0.1987357080070069,4000,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_episodes,500,QLearning,hard,14,0.0,-59.2,,0.05671595899912063,0.012050167002598755,0.06876612600171939,500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_episodes,1000,QLearning,hard,14,0.0,-56.96666666666667,,0.12761958299961407,0.013020291007705964,0.14063987400732003,1000,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_episodes,1500,QLearning,hard,14,0.0,-56.8,,0.18456116699962877,0.012064333001035266,0.19662550000066403,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_episodes,2500,QLearning,hard,14,0.0,-56.733333333333334,,0.2952104580035666,0.011989791004452854,0.30720024900801945,2500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_episodes,4000,QLearning,hard,14,0.0,-61.5,,0.5033723749947967,0.013196542000514455,0.5165689169953112,4000,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_episodes,500,QLearning,medium,12,0.8166666666666667,-16.541666666666668,35.357142857142854,0.04692000000795815,0.008112750001600944,0.055032750009559095,500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_episodes,1000,QLearning,medium,12,1.0,-2.066666666666667,27.733333333333334,0.08195537500432692,0.006700874990201555,0.08865624999452848,1000,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_episodes,1500,QLearning,medium,12,1.0,-1.925,27.658333333333335,0.12088741701154504,0.006588457996258512,0.12747587500780355,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_episodes,2500,QLearning,medium,12,1.0,-1.2583333333333333,26.991666666666667,0.18090249999659136,0.0060685829957947135,0.18697108299238607,2500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_episodes,4000,QLearning,medium,12,1.0,-1.3833333333333333,27.083333333333332,0.2660161660023732,0.006127375003416091,0.2721435410057893,4000,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_epsilon_decay,0.99,QLearning,easy,10,1.0,6.708333333333333,19.058333333333334,0.07786412499262951,0.004502875002799556,0.08236699999542907,1500,0.2,0.95,1.0,0.05,0.99,0.95,1e-06,True
ql_epsilon_decay,0.992,QLearning,easy,10,1.0,6.466666666666667,19.266666666666666,0.0790307080023922,0.004570874996716157,0.08360158299910836,1500,0.2,0.95,1.0,0.05,0.992,0.95,1e-06,True
ql_epsilon_decay,0.995,QLearning,easy,10,1.0,6.708333333333333,19.058333333333334,0.07948591699823737,0.004562500005704351,0.08404841700394172,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_epsilon_decay,0.997,QLearning,easy,10,1.0,6.641666666666667,19.058333333333334,0.0835265839996282,0.004501792005612515,0.08802837600524072,1500,0.2,0.95,1.0,0.05,0.997,0.95,1e-06,True
ql_epsilon_decay,0.999,QLearning,easy,10,1.0,6.7,19.0,0.10225616699608508,0.004496333000133745,0.10675249999621883,1500,0.2,0.95,1.0,0.05,0.999,0.95,1e-06,True
ql_epsilon_decay,0.99,QLearning,hard,14,0.008333333333333333,-56.583333333333336,56.0,0.17825462500331923,0.011997416004305705,0.19025204100762494,1500,0.2,0.95,1.0,0.05,0.99,0.95,1e-06,True
ql_epsilon_decay,0.992,QLearning,hard,14,0.0,-57.4,,0.17742329199973028,0.01197054200747516,0.18939383400720544,1500,0.2,0.95,1.0,0.05,0.992,0.95,1e-06,True
ql_epsilon_decay,0.995,QLearning,hard,14,0.0,-56.8,,0.17602733300009277,0.011971458996413276,0.18799879199650604,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_epsilon_decay,0.997,QLearning,hard,14,0.0,-62.56666666666667,,0.1748676660063211,0.011965749989030883,0.18683341599535197,1500,0.2,0.95,1.0,0.05,0.997,0.95,1e-06,True
ql_epsilon_decay,0.999,QLearning,hard,14,0.0,-57.36666666666667,,0.19946375000290573,0.011909332999493927,0.21137308300239965,1500,0.2,0.95,1.0,0.05,0.999,0.95,1e-06,True
ql_epsilon_decay,0.99,QLearning,medium,12,1.0,-1.5083333333333333,27.408333333333335,0.11174666699662339,0.006191791006131098,0.11793845800275449,1500,0.2,0.95,1.0,0.05,0.99,0.95,1e-06,True
ql_epsilon_decay,0.992,QLearning,medium,12,1.0,-1.975,27.175,0.11138212500372902,0.0061560419999295846,0.1175381670036586,1500,0.2,0.95,1.0,0.05,0.992,0.95,1e-06,True
ql_epsilon_decay,0.995,QLearning,medium,12,1.0,-1.925,27.658333333333335,0.1127167500089854,0.0062369160004891455,0.11895366600947455,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_epsilon_decay,0.997,QLearning,medium,12,0.9916666666666667,-2.2916666666666665,27.672268907563026,0.11484916698827874,0.0062502920045517385,0.12109945899283048,1500,0.2,0.95,1.0,0.05,0.997,0.95,1e-06,True
ql_epsilon_decay,0.999,QLearning,medium,12,1.0,-1.55,27.25,0.13096429100551177,0.006182208002428524,0.1371464990079403,1500,0.2,0.95,1.0,0.05,0.999,0.95,1e-06,True
ql_epsilon_min,0.01,QLearning,easy,10,1.0,6.675,19.058333333333334,0.07793895799841266,0.004516332992352545,0.0824552909907652,1500,0.2,0.95,1.0,0.01,0.995,0.95,1e-06,True
ql_epsilon_min,0.02,QLearning,easy,10,1.0,6.891666666666667,18.975,0.07834641699446365,0.0045007500011706725,0.08284716699563432,1500,0.2,0.95,1.0,0.02,0.995,0.95,1e-06,True
ql_epsilon_min,0.05,QLearning,easy,10,1.0,6.708333333333333,19.058333333333334,0.07888045899744611,0.004704292005044408,0.08358475100249052,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
ql_epsilon_min,0.1,QLearning,easy,10,1.0,6.733333333333333,18.966666666666665,0.08277400000952184,0.004522417002590373,0.08729641701211222,1500,0.2,0.95,1.0,0.1,0.995,0.95,1e-06,True
ql_epsilon_min,0.2,QLearning,easy,10,1.0,6.841666666666667,18.991666666666667,0.08690862498770002,0.004490958992391825,0.09139958398009185,1500,0.2,0.95,1.0,0.2,0.995,0.95,1e-06,True
ql_epsilon_min,0.01,QLearning,hard,14,0.0,-56.06666666666667,,0.17818179199821316,0.012018082998110913,0.19019987499632407,1500,0.2,0.95,1.0,0.01,0.995,0.95,1e-06,True
ql_epsilon_min,0.02,QLearning,hard,14,0.0,-61.43333333333333,,0.1766732500109356,0.01197729200066533,0.18865054201160092,1500,0.2,0.95,1.0,0.02,0.995,0.95,1e-06,True
ql_epsilon_min,0.05,QLearning,hard,14,0.0,-56.8,,0.17895887499616947,0.011950291998800822,0.1909091669949703,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
