Main experiments
scenario  size         method  success_rate  avg_return  avg_steps_on_success  prep_time_sec  eval_time_sec  total_time_sec
    easy    10  CSPReplanning        1.0000      6.5583               19.1750         0.0000         0.2225          0.2225
    easy    10 ValueIteration        1.0000      6.8500               19.0167         0.0225         0.0047          0.0272
    easy    10      QLearning        1.0000      7.0167               18.8500         0.0993         0.0058          0.1051
  medium    12  CSPReplanning        1.0000     -1.0583               26.8917         0.0000         0.4315          0.4315
  medium    12 ValueIteration        1.0000     -0.4250               25.9583         0.0525         0.0072          0.0597
  medium    12      QLearning        1.0000     -0.7833               26.3833         0.1433         0.0073          0.1506
    hard    14  CSPReplanning        0.9917    -31.7083               38.4118         0.0000         1.4761          1.4761
    hard    14 ValueIteration        1.0000    -24.0167               39.0167         0.3220         0.0089          0.3309
    hard    14      QLearning        0.0000    -58.9333                   NaN         0.2213         0.0149          0.2362

Scalability experiments
   scenario  size         method  success_rate  avg_return  avg_steps_on_success  prep_time_sec  eval_time_sec  total_time_sec
scalability     8  CSPReplanning           1.0      8.4125               17.5375         0.0000         0.0720          0.0720
scalability     8 ValueIteration           1.0      8.7625               17.1375         0.0169         0.0029          0.0198
scalability     8      QLearning           1.0      7.6750               17.9750         0.0851         0.0035          0.0886
scalability    10  CSPReplanning           1.0      2.8500               21.8000         0.0000         0.1383          0.1383
scalability    10 ValueIteration           1.0      3.1125               21.6875         0.0307         0.0035          0.0342
scalability    10      QLearning           1.0      2.3625               22.2875         0.1089         0.0042          0.1131
scalability    12  CSPReplanning           1.0     -1.4000               26.9500         0.0000         0.2061          0.2061
scalability    12 ValueIteration           1.0     -0.5125               26.5125         0.2332         0.0042          0.2374
scalability    12      QLearning           1.0     -1.2000               27.2000         0.1343         0.0050          0.1394
scalability    14  CSPReplanning           1.0    -16.4625               32.4625         0.0000         0.4927          0.4927
scalability    14 ValueIteration           1.0    -10.9500               31.1000         0.0711         0.0048          0.0759
scalability    14      QLearning           0.0    -56.0000                   NaN         0.2152         0.0095          0.2247
scalability    16  CSPReplanning           1.0    -31.6125               37.9125         0.0000         1.2649          1.2649
scalability    16 ValueIteration           1.0    -16.2250               36.5750         0.4202         0.0056          0.4258
scalability    16      QLearning           0.0    -64.0000                   NaN         0.2500         0.0112          0.2612
